Name,NA_sales,EU_sales,JP_sales,other_sales
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,1.26,0.47,0,0.03
2 Games in 1: Disney Princess & The Lion King,1.25,0.46,0,0.03
2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,0.22,0.08,0,0.01
2 Games in 1: Sonic Advance & ChuChu Rocket!,1.31,0.49,0,0.03
2 Games in 1: Sonic Battle & ChuChu Rocket!,0.44,0.16,0,0.01
2 Games in 1: Sonic Pinball Party & Columns Crown,0.04,0.02,0,0
2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,0.33,0.12,0,0.01
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,0.49,0.12,0,0.03
2002 FIFA World Cup,0.39,0.22,0.16,0.07
2010 FIFA World Cup South Africa,0.94,1.46,0.13,0.47
2014 FIFA World Cup Brazil,0.29,0.67,0.01,0.2
24: The Game,0.15,0.12,0,0.04
25 to Life,0.47,0.05,0,0.07
2-in-1 Game Pack: Spider-Man & Spider-Man 2,0.06,0.02,0,0
2Xtreme,1.15,0.2,0,0.05
"3 in 1: Solitaire, Mahjong & Tangram",0,0.07,0,0.01
300: March to Glory,0.27,0.08,0,0.06
3D Baseball,0.02,0.01,0,0
3D Dot Game Heroes,0.36,0.12,0.03,0.07
3D Lemmings,0.03,0.02,0,0
3D Tank Warfare Simulator Panzer Front,0.06,0.04,0,0.01
3DS Classic Collection,0.02,0,0,0
3rd Super Robot Wars Z Jigoku Hen,0,0,0.42,0
3rd Super Robot Wars Z: Tengoku-Hen,0,0,0.34,0
3Xtreme,0.5,0.34,0,0.06
4 Elements,0,0.04,0,0.01
4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship,0.11,0,0,0.01
4 Nin uchi Mahjong,0,0,1.45,0
40 Winks,0.17,0.12,0,0.02
428: Fuusa Sareta Shibuya de,0,0,0.19,0
4x4 EVO 2,0.29,0.08,0,0.01
4x4 Evolution,0.16,0.12,0,0.04
50 Cent: Blood on the Sand,0.22,0.13,0.01,0.05
50 Cent: Bulletproof,1.26,0.86,0,0.19
50 Classic Games,0.52,0.02,0,0.04
64 de Hakken! Tamagotchi Minna de Tamagotchi World,0,0,0.22,0
7 Days to Die,0.05,0.09,0,0.02
7 Roses: A Darkness Rises,0,0.02,0,0
7 Wonders II,0.14,0.15,0,0.03
7 Wonders of the Ancient World,0.17,0.01,0,0.02
7 Wonders: Treasures of Seven,0.02,0.03,0,0.01
7th Dragon,0,0,0.14,0
7th Dragon 2020,0,0,0.2,0
7th Dragon 2020-II,0,0,0.13,0
7th Dragon III Code: VFD,0.03,0,0.12,0
'98 Koshien,0.15,0.1,0.12,0.03
99 no Namida,0,0,0.04,0
"999: Nine Hours, Nine Persons, Nine Doors",0.37,0,0.03,0.03
A Boy and His Blob,0.19,0.02,0,0.02
A Bug's Life,2.45,0.85,0,0.12
A Collection of Activision Classic Games for the Atari 2600,0.76,0.52,0,0.09
A Collection of Classic Games from the Intellivision,0.17,0.12,0,0.02
A Game of Thrones: Genesis,0,0.03,0,0.01
A Good Librarian Like a Good Shepherd: Library Party,0,0,0.03,0
A llI S.V.: A Ressha de Gyoukou 3 Super Version,0,0,0.06,0
A New Beginning,0,0.05,0,0.01
A Ressha de Gyoukou 2001,0,0,0.03,0
A Ressha de Ikou DS,0,0,0.04,0
A Vampyre Story,0,0.01,0,0
A Witch's Tale,0.08,0,0.03,0.01
A. IV Evolution: A Ressha de Ikou 4,0,0,0.24,0.02
A.C.E.: Another Century's Episode,0,0,0.26,0
A.C.E.: Another Century's Episode 2,0,0,0.18,0
A.C.E.: Another Century's Episode 3: The Final,0,0,0.26,0
A.C.E.: Another Century's Episode Portable,0,0,0.12,0
A.C.E.: Another Century's Episode R,0,0,0.26,0
Aa Megami-samaa,0,0,0.01,0
ABBA: You Can Dance,0.19,0.5,0,0.11
Abunai: Koi no Sousa Shitsu,0,0,0.03,0
AC/DC LIVE: Rock Band Track Pack,0.75,0.07,0,0.08
Academy of Champions: Soccer,0.1,0.02,0,0.01
Accel World: Ginyoku no Kakusei,0,0,0.06,0
Accel World: Kasoku no Chouten,0,0,0.03,0
Ace Attorney 6,0,0,0.27,0
Ace Attorney Investigations 2,0,0,0.26,0
Ace Attorney Investigations: Miles Edgeworth,0.27,0.15,0.3,0.04
Ace Combat 04: Shattered Skies,2.06,0.56,0.38,0.17
Ace Combat 2,0.16,0.11,0.56,0.06
Ace Combat 3: Electrosphere,0.22,0.15,0.4,0.05
Ace Combat 5: The Unsung War,0.88,0.34,0.32,0.18
Ace Combat 6: Fires of Liberation,0.69,0.04,0.22,0.06
Ace Combat X: Skies of Deception,0.37,0.31,0.12,0.19
Ace Combat Zero: The Belkan War,0.15,0.12,0.2,0.04
Ace Combat: Assault Horizon,0.6,0.28,0.25,0.11
Ace Combat: Assault Horizon Legacy,0.1,0.06,0.08,0.01
Ace Combat: Joint Assault,0.06,0.05,0.15,0.03
Achtung Panzer: Kharkov 1943,0,0.01,0,0
Act of Aggression,0,0.01,0,0
Action Bass,0.64,0.43,0,0.07
Action Force,0.5,0.03,0,0.01
Action Man-Operation Extreme,0.05,0.03,0,0.01
Active Health with Carol Vorderman,0,0.18,0,0.01
Active Life Explorer,0.14,0,0,0.01
Active Life: Extreme Challenge,0.15,0.27,0,0.06
Active Life: Magical Carnival,0.04,0.01,0,0
Active Life: Outdoor Challenge,0.79,0.44,0.19,0.14
Activision Anthology,0.28,0.2,0,0.06
Activision Hits: Remixed,0.05,0,0,0
Actua Tennis,0.07,0.05,0,0.01
Adidas Power Soccer,0.02,0.01,0,0
Adidas Power Soccer 98,0.01,0.01,0,0
Adrenalin Misfits,0.12,0.02,0,0.01
Advance Guardian Heroes,0.03,0.01,0,0
Advance Wars,0.5,0.19,0,0.01
Advance Wars 2: Black Hole Rising,0.47,0.17,0,0.01
Advance Wars: Days of Ruin,0.44,0.13,0,0.06
Advance Wars: Dual Strike,0.3,0.03,0.04,0.03
Advent Rising,0.1,0.03,0,0
Adventure,1.21,0.08,0,0.01
Adventure Island,0,0,1.05,0
Adventure Time: Explore the Dungeon Because I Don't Know!,0.17,0.1,0,0.03
Adventure Time: Finn & Jake Investigations,0.14,0.26,0,0.05
Adventure Time: The Secret of the Nameless,0.02,0,0,0
Adventure Time: The Secret of the Nameless Kingdom,0,0.15,0,0.01
Adventures of Lolo,0.06,0,0,0
Adventures of Tron,0.63,0.03,0,0.01
Adventures to Go!,0.1,0,0.01,0.01
Aedis Eclipse: Generation of Chaos,0.02,0,0,0
Aegis of Earth: Protonovus Assault,0.05,0.02,0,0.01
Aeon Flux,0.03,0.02,0,0.01
Aero Elite: Combat Academy,0.04,0.03,0,0.01
Aero Gauge,0.06,0.01,0,0
AeroFighters Assault,0.15,0.04,0,0
Afrika,0.12,0,0.08,0.01
Afro Samurai,0.28,0.1,0,0.05
After Hours Athletes,0,0.1,0,0.03
Again,0.07,0,0,0
Agarest Senki: Re-appearance,0,0,0.01,0
Agassi Tennis Generation,0.04,0.03,0,0.01
Agatha Christie: And Then There Were None,0.06,0.01,0,0.01
Agatha Christie: Death on the Nile,0,0.01,0,0
Agatha Christie: Evil Under the Sun,0.07,0.02,0,0.01
Agatha Christie: Peril at End House,0,0.01,0,0
Agatha Christie: The ABC Murders,0.08,0.03,0,0.01
Agatha Christie's The ABC Murders,0.01,0.01,0,0
Age of Conan: Rise of the Godslayer,0,0.02,0,0
Age of Empires II: The Age of Kings,0.01,0.08,0,0.02
Age of Empires III,0,0.32,0,0.07
Age of Empires III: Complete Collection,0.01,0.12,0,0.03
Age of Empires III: Gold Edition,0,0.02,0,0.01
Age of Empires III: The Asian Dynasties,0,0.05,0,0.01
Age of Empires Online,0.01,0.04,0,0.01
Age of Empires: Collector's Edition,0.02,0.1,0,0.02
Age of Empires: Mythologies,0.17,0.03,0,0.02
Age of Empires: The Age of Kings,0.19,0.02,0,0.02
Age of Mythology,0.02,0.06,0,0.01
Age of Mythology: The Titans,0.01,0.02,0,0
Aggressive Inline,0.26,0.15,0,0.04
Agile Warrior F-111X,0.08,0.05,0,0.01
Aibou DS,0,0,0.08,0
Aidyn Chronicles: The First Mage,0.08,0.02,0,0
Aikatsu! 2-nin no My Princess,0,0,0.26,0
Aikatsu! 365 Idol Days,0,0,0.13,0
Aikatsu! Cinderella Lesson,0,0,0.2,0
Aikatsu! My No.1 Stage!,0,0,0.07,0
Ailu de Puzzle,0,0,0.04,0
AIR,0,0,0.02,0
Air Combat,0.92,0.33,0.52,0.05
Air Conflicts: Aces of World War II,0.05,0,0,0
Air Conflicts: Secret Wars,0.16,0.1,0,0.05
Air Raid,0.72,0.04,0,0.01
Air Traffic Chaos,0.05,0,0,0
Airblade,0.11,0.09,0,0.03
Airborne Troops: Countdown to D-Day,0.06,0.05,0,0.02
AirForce Delta Storm,0.16,0.05,0,0.01
AirForce Delta Strike,0.05,0.04,0,0.01
Airline Tycoon,0,0.01,0,0
Airline Tycoon 2,0,0.04,0,0.01
Airlock,0.36,0.02,0,0
Airport Simulator,0,0.02,0,0
Air-Sea Battle,0.91,0.06,0,0.01
Airship Q,0,0,0.03,0
Akagawa Jirou Mystery: Yasoukyoku - Hon ni Manekareta Satsujin,0,0,0.06,0
Akai Ito DS,0,0,0.02,0
Akai Katana Shin,0.04,0,0.01,0
Akane Iro ni Somaru Saka Parallel,0,0,0.03,0
Akatsuki no Amaneka to Aoi Kyojin,0,0,0.01,0
Akatsuki no Goei Trinity,0,0,0.02,0
AKB1/149: Love Election,0,0,0.38,0
AKB1/48: Idol to Guam de Koishitara...,0,0,0.41,0
AKB1/48: Idol to Koishitara...,0,0,0.41,0
AKB48+Me,0,0,0.11,0
Akiba's Trip,0,0,0.14,0
Akiba's Trip Plus,0,0,0.08,0
Akiba's Trip: Undead & Undressed,0.22,0.03,0.13,0.06
Akko ni Omakase! Brain Shock,0,0,0.04,0
Akuji the Heartless,0.07,0.04,0,0.01
Aladdin Magic Racer,0.01,0,0,0
Alan Wake,0.66,0.57,0.05,0.14
Alex Rider: Stormbreaker,0.06,0,0,0
Alexi Lalas International Soccer,0.04,0.03,0,0
Alfa Romeo Racing Italiano,0.01,0.01,0,0
Alias,0.09,0.05,0,0.01
Alia's Carnival! Sacrament,0,0,0.03,0
Alice in Wonderland,0.54,0.39,0,0.1
Alice: Madness Returns,0.49,0.5,0.08,0.15
Alien,0.74,0.04,0,0.01
Alien Breed Trilogy,0,0.02,0,0
Alien Hominid,0.12,0.06,0,0.01
Alien Monster Bowling League,0.09,0,0,0.01
Alien Resurrection,0.09,0.06,0,0.01
Alien Syndrome,0.13,0,0,0.01
Alien Trilogy,0.24,0.16,0.04,0.03
Alien: Isolation,0.83,1.25,0.04,0.34
Alienators: Evolution Continues,0.03,0.01,0,0
Aliens in the Attic,0.12,0,0,0.01
Alien's Return,0.32,0.02,0,0
Aliens versus Predator: Extinction,0.15,0.09,0,0.02
Aliens vs Predator,0.96,1.04,0,0.31
Aliens vs Predator: Requiem,0.03,0.12,0,0.07
Aliens: Colonial Marines,0.66,0.74,0,0.22
Aliens: Infestation,0.1,0.06,0,0.02
All Grown Up! Express Yourself,0.13,0.05,0,0
All Grown Up!: Game Boy Advance Video Volume 1,0.17,0.06,0,0
All Japan Pro Wrestling featuring Virtua,0,0,0.15,0
All Kamen Rider: Rider Generation,0,0,0.12,0
All Kamen Rider: Rider Generation 2,0,0,0.16,0
All Points Bulletin,0,0.03,0,0.01
All Star Cheer Squad,0.69,0.29,0,0.1
All Star Cheer Squad 2,0.12,0,0,0.01
All Star Karate,0.14,0.07,0,0.02
All Star Pro-Wrestling,0,0,0.2,0
All Star Tennis 99,0.04,0.01,0,0
Alleyway,0.96,0.38,0.55,0.05
Allied General,0.11,0.07,0,0.01
All-Pro Football 2K8,0.38,0,0,0.03
All-Star Baseball 2000,0.36,0.03,0,0
All-Star Baseball 2001,0.22,0.01,0,0
All-Star Baseball 2002,0.44,0.25,0,0.08
All-Star Baseball 2003,0.8,0.42,0,0.11
All-Star Baseball 2004,0.42,0.23,0,0.05
All-Star Baseball 2005,0.27,0.15,0,0.05
All-Star Baseball 99,0.44,0.04,0,0
Alone in the Dark,0.26,0.41,0,0.08
Alone in the Dark: Inferno,0.09,0.03,0,0.02
Alone in the Dark: One-Eyed Jack's Revenge,0.17,0.12,0,0.02
Alone in the Dark: The New Nightmare,0.09,0.06,0,0.01
Alpha and Omega,0.06,0,0,0
Alpha Protocol,0.42,0.34,0,0.12
Alter Echo,0.1,0.06,0,0.02
Alter Ego,0,0.03,0,0.01
Altered Beast: Guardian of the Realms,0.07,0.02,0,0
Alundra,0.13,0.09,0,0.01
Alundra 2: A New Legend Begins,0.15,0.1,0,0.02
Alvin and the Chipmunks,0.21,0.03,0,0.02
Alvin and the Chipmunks: Chipwrecked,0.23,0.05,0,0.03
Alvin and the Chipmunks: The Squeakquel,0.37,0,0,0.03
Amagami,0,0,0.32,0
Amagoushi no Yakata,0,0,0.02,0
Amatsumi Sora ni! Kumo no Hatate ni,0,0,0.02,0
Amazing Adventures: The Forgotten Ruins,0.13,0.08,0,0.02
Amazing Island,0.04,0.01,0,0
America Oudan Ultra-Quiz,0,0,0.02,0
American Bass Challenge,0.03,0.01,0,0
American Chopper,0.46,0.04,0,0.07
American Chopper 2: Full Throttle,0.17,0.09,0,0.02
American Girl: Julie Finds a Way,0.1,0,0,0.01
American Girl: Kit Mystery Challenge!,0.42,0,0,0.03
American Idol,0.42,0.27,0,0.07
America's Army: Rise of a Soldier,0.19,0.05,0,0.01
America's Army: True Soldiers,0.08,0,0,0.01
America's Next Top Model,0.18,0,0,0.02
America's Test Kitchen: Let's Get Cooking,0.25,0,0,0.02
AMF Bowling 2004,0.22,0.06,0,0.01
AMF Bowling Pinbusters!,0.91,0,0,0.07
AMF Bowling World Lanes,0.33,0,0,0.03
AMF Xtreme Bowling,0.01,0.01,0,0
Amnesia,0,0,0.04,0
Amnesia Crowd,0,0,0.05,0
Amnesia Later,0,0,0.06,0
AMNESIA World,0,0,0.03,0
Amped 2,0.2,0.04,0,0.01
Amped 3,0.13,0.02,0,0.01
Amped: Freestyle Snowboarding,0.69,0.11,0,0.02
Amplitude,0.09,0.07,0,0.02
An American Tail: Fievel's Gold Rush,0.02,0.01,0,0
Anarchy Reigns,0.21,0.05,0.08,0.03
And1 Streetball,0.19,0.12,0,0.03
Andretti Racing,0.43,0.29,0,0.05
Angel Blade: Neo Tokyo Guardians,0.12,0.08,0,0.01
Angelique Duet,0,0,0.04,0
Angelique Retour,0,0,0.02,0
Angelique Trois,0,0,0.06,0
Angelique: Maren no Rokukishi,0,0,0.03,0
Angler's Club: Ultimate Bass Fishing 3D,0,0.03,0,0
Angry Birds,0,0.18,0,0.05
Angry Birds Star Wars,0.94,0.73,0,0.23
Angry Birds Trilogy,0.68,0.28,0,0.09
Angry Birds: Rio,0,0.07,0,0.02
Anima - Gate of Memories,0,0.02,0,0
Animal Crossing,1.92,0.16,0.99,0.09
Animal Crossing: Amiibo Festival,0.19,0.11,0.09,0.03
Animal Crossing: City Folk,1.87,1.12,1.32,0.37
Animal Crossing: Happy Home Designer,0.47,1,1.39,0.12
Animal Crossing: New Leaf,2.01,2.32,4.36,0.41
Animal Crossing: Wild World,2.55,3.52,5.33,0.88
Animal Genius,0.11,0,0,0.01
Animal Kingdom: Wildlife Expedition,0.07,0,0,0.01
Animal Paradise,0.09,0.14,0,0.02
Animal Planet: Emergency Vets,0.08,0,0,0.01
Animal Planet: Vet Collection,0.05,0,0,0
Animal Planet: Vet Life,0.19,0,0,0.02
Animaniacs Ten Pin Alley,0.36,0.25,0,0.04
Animaniacs: The Great Edgar Hunt,0.02,0.01,0,0
AniMates!,0.02,0,0,0
Animorphs: Shattered Reality,0.03,0.02,0,0
Anno 1701: Dawn of Discovery,0.07,0.06,0,0.02
Anno 2070,0,1.13,0,0.32
Anno 2205,0.02,0.22,0,0.01
Ano Hi Mita Hana no Namae o Bokutachi wa Mada Shiranai,0,0,0.02,0
Another Code R: A Journey into Lost Memories,0,0.03,0.03,0
Ansatsu Kyoushitsu: Assassin Ikusei Keikaku!!,0,0,0.06,0
Ant Nation,0.06,0.01,0,0.01
Antiphona no Seikahime: Tenshi no Gakufu Op.A,0,0,0.02,0
Antz Extreme Racing,0.03,0.02,0,0.01
Anubis II,0.06,0,0,0
Ao no Exorcist: Genkoku no Labyrinth,0,0,0.04,0
Ao no Kanata no Four Rhythm,0,0,0.03,0
Aoishiro,0,0,0.02,0
Apache: Air Assault,0.23,0.14,0,0.05
Apassionata: Die Galanacht der Pferde,0,0.04,0,0.01
APB Reloaded,0.02,0.01,0,0
Ape Escape,0.71,0.51,0.32,0.12
Ape Escape 2,0.12,0.09,0.38,0.03
Ape Escape 3,0.06,0.05,0,0.02
Ape Escape Academy,0.13,0.15,0,0.05
Ape Escape Academy (jp sales),0,0,0.13,0
Ape Escape: On the Loose,0.52,0.01,0.12,0.05
Ape Escape: Pumped & Primed,0.04,0.03,0,0.01
Apex,0.1,0.03,0,0
Apocalypse,0.25,0.17,0,0.03
Apollo Justice: Ace Attorney,0.32,0.06,0.64,0.04
Aqua Aqua,0.05,0.04,0,0.01
Aqua Panic!,0.01,0.01,0,0
Aqua Teen Hunger Force: Zombie Ninja Pro-Am,0.03,0.03,0,0.01
Aquaman: Battle for Atlantis,0.02,0,0,0
Aquanaut's Holiday,0.01,0.01,0,0
Aquanaut's Holiday: Kakusareta Kiroku,0,0,0.04,0
Aquapazza: Aquaplus Dream Match,0.05,0,0.05,0.01
Aquarium by DS,0.05,0,0,0
Ar Nosurge: Ode to an Unborn Star,0.05,0.04,0.1,0.02
Ar tonelico 2: Melody of Metafalica,0.04,0.03,0.11,0.01
Ar tonelico Qoga: Knell of Ar Ciel,0.08,0.01,0.13,0.01
Ar tonelico: Melody of Elemia,0,0,0.1,0
Arabians Lost: The Engagement on Desert,0,0,0.03,0
Arc Rise Fantasia,0.13,0,0.06,0.01
Arc the Lad,0,0,1.1,0.01
Arc the Lad II,0,0,0.92,0.13
Arc the Lad III,0,0,0.39,0.03
Arc the Lad: End of Darkness,0.03,0.02,0,0.01
Arc the Lad: Twilight of the Spirits,0.18,0.14,0,0.05
Arcade Hits: Frisky Tom,0.16,0.11,0,0.02
Arcade Party Pak,0.06,0.04,0,0.01
Arcade Shooting Gallery,0.18,0,0,0.01
Arcade Zone,0.14,0,0,0.01
Arcana Famiglia 2,0,0,0.02,0
Arcana Famiglia: La storia della Aracana Famiglia,0,0,0.05,0
Arcana Famiglia: Vascello Phantasma no Majutsushi,0,0,0.02,0
Arcana Heart,0.06,0.05,0.04,0.02
Arcana Heart 3,0.07,0.08,0.14,0.03
Arcania: Gothic 4,0.16,0.12,0.01,0.04
Archer Maclean Presents: Pool Paradise,0.05,0.03,0,0.01
Archer Maclean's 3D Pool,0.05,0.02,0,0
Archer Maclean's Mercury,0.17,0.24,0,0.14
Arctic Tale,0.17,0,0,0.01
Arctic Thunder,0.26,0.16,0,0.05
Are You Alice?,0,0,0.02,0
Are You Smarter Than A 5th Grader?,0.48,0,0,0.04
Are You Smarter Than a 5th Grader? Back to School,0.28,0,0,0.03
Are You Smarter than a 5th Grader? Game Time,0.59,0,0,0.05
Are You Smarter than a 5th Grader? Make the Grade,0.87,0,0,0.07
Area 51,0.84,0.5,0,0.12
Arena Football,0.39,0.25,0,0.08
Aria: The Natural ~Tooi Yume no Mirage~,0,0,0.02,0
Aria: The Origination ~Aoi Wakusei no El Cielo~,0,0,0.02,0
Arkanoid DS,0.06,0,0,0
ArmA II,0,0.12,0,0.03
ArmA III,0,0.1,0,0.02
Armed and Dangerous,0.09,0.03,0,0
Armor Ambush,0.15,0.01,0,0
Armored Core,0.13,0.09,0.16,0.03
Armored Core 2,0.28,0.22,0.23,0.07
Armored Core 2: Another Age,0.11,0.08,0.19,0.03
Armored Core 3,0.22,0.17,0.23,0.06
Armored Core 3 Portable,0,0,0.08,0
Armored Core 4,0.28,0.01,0.12,0.03
Armored Core SL: Silent Line Portable,0,0,0.03,0
Armored Core V,0.22,0.07,0.28,0.03
Armored Core: For Answer,0.12,0.03,0.17,0.02
Armored Core: Formula Front Extreme Battle,0.05,0,0,0
Armored Core: Last Raven,0.05,0.04,0.08,0.01
Armored Core: Last Raven Portable,0,0,0.03,0
Armored Core: Master of Arena,0.07,0.05,0.13,0.02
Armored Core: Nexus,0.06,0.05,0.14,0.02
Armored Core: Nine Breaker,0.03,0.03,0,0.01
Armored Core: Project Phantasma,0.06,0.04,0.15,0.02
Armored Core: Silent Line,0.07,0.06,0.16,0.02
Armored Core: Verdict Day,0,0,0.12,0
Armorines: Project S.W.A.R.M.,0.26,0.08,0,0.01
Army Corps of Hell,0.05,0.04,0,0.02
Army Men 3D,1.1,0.14,0,0.04
Army Men World War: Final Front,0.24,0.17,0,0.03
"Army Men World War: Land, Sea, Air",0.17,0.12,0,0.02
Army Men World War: Team Assault,0.06,0.04,0,0.01
Army Men: Air Attack,0.47,0.32,0,0.06
Army Men: Air Attack 2,0.17,0.11,0,0.02
Army Men: Air Combat,0.19,0.05,0,0
Army Men: Air Combat - The Elite Missions,0.01,0,0,0
Army Men: Green Rogue,0.1,0.07,0,0.02
Army Men: Major Malfunction,0.01,0,0,0
Army Men: RTS,0.1,0.05,0,0.01
Army Men: Sarge's Heroes,0.99,0.33,0,0.05
Army Men: Sarge's Heroes 2,0.57,0.23,0,0.04
Army Men: Sarge's War,0.21,0.05,0,0
Army Men: Soldiers of Misfortune,0.23,0,0,0.02
Army of Two,1.83,0.64,0.04,0.31
Army of Two: The 40th Day,1.18,0.64,0.01,0.28
Army of Two: The Devil's Cartel,0.27,0.18,0.01,0.07
Army Rescue,0.02,0,0,0
Around the World in 80 Days,0.03,0.15,0,0.02
Arslan: The Warriors of Legend,0.03,0.01,0.09,0.01
Art Academy,0.28,1.68,0.33,0.28
Art Academy: Home Studio,0,0,0.01,0
Art Academy: Lessons for Everyone,0.2,0.03,0.21,0.02
Art of Fighting 3: The Path of the Warrior,0,0,0.04,0
Art of Fighting Anthology,0.02,0.02,0,0.01
Arthur and the Invisibles,0.03,0,0,0
Arthur! Ready to Race,0.03,0.02,0,0
Arx Fatalis,0.04,0.01,0,0
ASH: Archaic Sealed Heat,0,0,0.12,0
Ashes Cricket 2009,0,0.58,0,0.04
Asphalt 3D,0.27,0.16,0.02,0.04
Asphalt: Injection,0.14,0.06,0,0.04
Asphalt: Urban GT,0.31,0.22,0,0.06
Asphalt: Urban GT 2,0.09,0.04,0,0.01
Assassination Classroom: Grand Siege on Kuro-sensei,0,0,0.13,0
Assassin's Creed,5.2,4.48,0.16,1.46
Assassin's Creed Chronicles,0.03,0.12,0.02,0.03
Assassin's Creed Chronicles: China,0,0.03,0,0.01
Assassin's Creed II,5.65,3.96,0.29,1.49
Assassin's Creed II: Discovery,0.15,0.11,0,0.03
Assassin's Creed III,6.24,4.93,0.19,1.74
Assassin's Creed III: Liberation,0.58,0.55,0.06,0.28
Assassin's Creed IV: Black Flag,6.17,5.18,0.2,1.65
Assassin's Creed Syndicate,1.51,2.56,0.06,0.63
Assassin's Creed: Altair's Chronicles,0.03,0.01,0,0
Assassin's Creed: Bloodlines,0.43,0.48,0.05,0.28
Assassin's Creed: Brotherhood,4.86,1.3,0.14,0.64
Assassin's Creed: Revelations,3.8,3.97,0.14,1.29
Assassin's Creed: Rogue,1.08,1.02,0.06,0.33
Assassin's Creed: Unity,3.61,3.18,0.08,1.05
Assault,0.21,0.01,0,0
Assault Rigs,0.02,0.02,0,0
Assault Suit Leynos,0.01,0,0,0
Assault: Retribution,0.07,0.05,0,0.01
Assetto Corsa,0,0.05,0,0.01
Asterix & Obelix: Kick Buttix,0.02,0.01,0,0
Asteroids,4.64,0.69,0,0.12
Asteroids Hyper 64,0.13,0.03,0,0
Astonishia Story,0.03,0,0,0
Astro Boy,0.04,0.03,0,0.01
Astro Boy: Omega Factor,0.06,0.02,0,0
Astro Boy: The Video Game,0.28,0.04,0,0.03
Astroblast,0.29,0.02,0,0
Astrology DS,0.03,0,0,0
Asura's Wrath,0.33,0.18,0.07,0.07
Atari Anniversary Advance,0.13,0.05,0,0
Atari Anniversary Edition Redux,0.1,0.07,0,0.01
Atari Anthology,0.52,0.06,0,0.06
Atari Classics Evolved,0.08,0,0,0.01
Atari's Greatest Hits: Volume 1,0.13,0,0,0.01
Atari's Greatest Hits: Volume 2,0.06,0,0,0
Atelier Annie: Alchemists of Sera Island,0.08,0,0.03,0.01
Atelier Ayesha: The Alchemist of Dusk,0.06,0.04,0.19,0.02
Atelier Escha & Logy: Alchemists of the Dusk Sky,0.06,0.04,0.14,0.02
Atelier Iris 2: The Azoth Of Destiny,0.03,0.02,0,0.01
Atelier Iris 3: Grand Phantasm (JP Sales),0,0,0.04,0
Atelier Iris 3: Grand Phantasm (US Sales),0.14,0.11,0,0.04
Atelier Iris: Eternal Mana,0.08,0.06,0,0.02
Atelier Meruru: Alchemist of Arland 3,0.05,0,0.24,0.01
Atelier Rorona: Alchemist of Arland,0.22,0.12,0.16,0.05
Atelier Shallie Plus: Alchemists of the Dusk Sea,0,0,0.03,0
Atelier Shallie: Alchemists of the Dusk Sea,0.06,0.05,0.08,0.02
Atelier Sophie: The Alchemist of the Mysterious Book,0.01,0.02,0.15,0.01
Atelier Totori: The Adventurer of Arland,0.12,0.07,0.3,0.03
